Date,open_price,high_price,low_price,close_price,vol,script,Resistance,Support,pivot_upper,pivot_lower,screener,screener_side,screener_implications,user_actions,next_10_high,next_10_low,win_buy,win_sell,Alert_Uturn,Trap_Alert_POSITION,pattern_identifier_trendbreak,data_interval,Alert_details,Price_Closer_Support,Price_Closer_Resistance
2025-11-21 10:33:00+05:30,1546.9,1547.9,1546.7,1546.8,29803,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:35:00+05:30,1546.7,1548.4,1546.5,1548.4,21164,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:37:00+05:30,1548.4,1549.1,1548.0,1548.5,33465,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:39:00+05:30,1548.5,1548.5,1547.6,1547.8,27640,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:41:00+05:30,1547.8,1547.9,1546.6,1547.2,22313,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:43:00+05:30,1547.2,1547.4,1547.1,1547.3,14658,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:45:00+05:30,1547.4,1548.0,1547.3,1547.6,24174,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:47:00+05:30,1547.6,1548.4,1547.2,1547.2,33994,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:49:00+05:30,1547.2,1548.0,1547.2,1547.5,33964,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:51:00+05:30,1547.4,1547.4,1546.9,1547.2,17902,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:53:00+05:30,1547.2,1547.3,1546.2,1547.2,32313,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:55:00+05:30,1547.1,1547.6,1546.2,1547.6,21855,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:57:00+05:30,1547.3,1548.5,1547.3,1548.5,21977,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 10:59:00+05:30,1548.5,1549.2,1548.5,1549.1,24199,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:01:00+05:30,1549.1,1549.9,1548.9,1549.9,33183,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:03:00+05:30,1549.9,1550.0,1549.4,1549.5,25590,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:05:00+05:30,1549.4,1549.5,1547.5,1548.1,18271,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:07:00+05:30,1548.2,1549.4,1548.0,1549.4,21685,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:09:00+05:30,1549.3,1550.0,1549.3,1550.0,15850,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:11:00+05:30,1550.0,1551.9,1549.9,1551.7,68277,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:13:00+05:30,1551.6,1552.0,1551.5,1551.8,36233,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:15:00+05:30,1551.8,1551.8,1551.1,1551.5,37861,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:17:00+05:30,1551.5,1551.6,1548.6,1549.0,26079,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:19:00+05:30,1548.8,1548.8,1547.6,1547.7,46551,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:21:00+05:30,1547.7,1547.8,1546.3,1546.3,34093,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:23:00+05:30,1546.2,1546.3,1545.5,1545.7,33007,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:25:00+05:30,1545.7,1545.9,1544.9,1545.8,46264,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:27:00+05:30,1545.8,1546.3,1544.9,1546.0,50139,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:29:00+05:30,1545.9,1546.3,1545.1,1545.3,29432,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:31:00+05:30,1545.3,1545.4,1545.0,1545.2,10853,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:33:00+05:30,1545.2,1545.4,1544.4,1545.2,44127,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:35:00+05:30,1545.4,1546.5,1545.2,1546.0,106207,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:37:00+05:30,1546.0,1547.0,1545.5,1545.8,49963,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:39:00+05:30,1545.8,1546.8,1544.5,1545.0,62840,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:41:00+05:30,1545.0,1545.1,1541.4,1541.6,230048,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:43:00+05:30,1541.5,1543.3,1541.2,1543.2,65740,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:45:00+05:30,1543.2,1544.5,1543.1,1544.2,34097,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:47:00+05:30,1544.2,1544.9,1544.1,1544.6,26594,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:49:00+05:30,1544.5,1544.9,1544.0,1544.2,74843,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:51:00+05:30,1544.0,1544.1,1543.6,1543.6,12829,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:53:00+05:30,1543.5,1545.0,1543.5,1544.8,23434,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:55:00+05:30,1544.8,1545.0,1544.8,1544.9,17381,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:57:00+05:30,1544.9,1544.9,1544.7,1544.8,21260,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 11:59:00+05:30,1544.8,1544.9,1544.0,1544.1,21589,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:01:00+05:30,1544.1,1545.2,1544.1,1545.2,27192,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:03:00+05:30,1545.2,1545.5,1544.8,1545.4,16544,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:05:00+05:30,1545.6,1546.0,1545.5,1546.0,15315,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:07:00+05:30,1546.0,1546.0,1544.7,1544.8,32829,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:09:00+05:30,1544.8,1545.8,1544.8,1545.4,13611,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:11:00+05:30,1545.5,1545.9,1544.9,1545.9,21974,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:13:00+05:30,1545.9,1546.9,1545.8,1546.7,29303,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:15:00+05:30,1546.5,1548.7,1546.5,1548.5,64573,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:17:00+05:30,1548.5,1549.7,1548.0,1549.7,38048,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:19:00+05:30,1549.8,1550.0,1549.4,1550.0,64176,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:21:00+05:30,1550.0,1551.0,1549.5,1551.0,71789,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:23:00+05:30,1551.0,1552.4,1550.5,1552.0,57796,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:25:00+05:30,1552.2,1552.9,1551.7,1552.8,60031,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:27:00+05:30,1552.7,1553.6,1552.5,1552.6,74347,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:29:00+05:30,1552.6,1552.6,1551.4,1552.1,87918,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:31:00+05:30,1552.0,1552.1,1550.5,1550.7,129008,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:33:00+05:30,1550.3,1551.8,1549.6,1551.1,111023,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:35:00+05:30,1551.1,1551.2,1549.7,1550.8,39421,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:37:00+05:30,1550.8,1550.8,1549.8,1549.9,38751,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:39:00+05:30,1550.0,1550.0,1549.1,1549.3,56117,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:41:00+05:30,1549.2,1551.5,1548.5,1550.9,60935,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:43:00+05:30,1550.9,1551.2,1550.0,1550.9,34246,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:45:00+05:30,1550.9,1551.6,1550.9,1551.5,31057,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:47:00+05:30,1551.5,1552.5,1551.5,1552.4,58548,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:49:00+05:30,1552.4,1552.7,1552.4,1552.7,32804,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:51:00+05:30,1552.6,1554.5,1552.6,1554.0,104401,RELIANCE,,,,,,,,,,,,,,,,,,,
